time,flux,cumulative_flux,normalised_flux,yCO2_bl,pressure
0.0,-2.0010202549210577e-06,-0.0,-0.00044431254845030875,-2.655999999999996e-07,47.555
10.0,2.214984770131e-07,2.214984770131e-06,4.91821872155088e-05,2.940000000000009e-08,48.665
20.0,2.4440172089472577e-06,2.665515685960358e-05,0.0005426769228813263,3.243999999999998e-07,48.887
30.0,2.214984770131e-07,2.887014162973458e-05,4.91821872155088e-05,2.940000000000009e-08,49.109
40.0,4.666535940881415e-06,7.553550103854873e-05,0.001036171658547144,6.193999999999995e-07,49.775
50.0,2.214984770131e-07,7.775048580867974e-05,4.91821872155088e-05,2.940000000000009e-08,49.997
60.0,2.214984770131e-07,7.996547057881074e-05,4.91821872155088e-05,2.940000000000009e-08,50.219
70.0,-2.0010202549210577e-06,5.995526802960016e-05,-0.00044431254845030875,-2.655999999999996e-07,49.997
80.0,2.214984770131e-07,6.217025279973116e-05,4.91821872155088e-05,2.940000000000009e-08,49.775
90.0,-4.216005025052045e-06,2.0010202549210714e-05,-0.000936134420605394,-5.595999999999988e-07,49.997
100.0,2.214984770131e-07,2.2225187319341714e-05,4.91821872155088e-05,2.940000000000009e-08,50.219
110.0,-6.438523756986215e-06,-4.2160050250520436e-05,-0.0014296291562712143,-8.546000000000003e-07,49.997
120.0,-4.216005025052045e-06,-8.432010050104089e-05,-0.000936134420605394,-5.595999999999988e-07,49.997
130.0,-2.0010202549210577e-06,-0.00010433030305025146,-0.00044431254845030875,-2.655999999999996e-07,49.775
140.0,-2.0010202549210577e-06,-0.00012434050559946206,-0.00044431254845030875,-2.655999999999996e-07,49.997
150.0,-2.0010202549210577e-06,-0.00014435070814867263,-0.00044431254845030875,-2.655999999999996e-07,49.997
160.0,-2.0010202549210577e-06,-0.0001643609106978832,-0.00044431254845030875,-2.655999999999996e-07,49.997
170.0,-4.216005025052045e-06,-0.00020652096094840366,-0.000936134420605394,-5.595999999999988e-07,49.997
180.0,-4.216005025052045e-06,-0.0002486810111989241,-0.000936134420605394,-5.595999999999988e-07,49.997
190.0,-2.0010202549210577e-06,-0.0002686912137481347,-0.00044431254845030875,-2.655999999999996e-07,49.775
200.0,-6.438523756986215e-06,-0.00033307645131799683,-0.0014296291562712143,-8.546000000000003e-07,49.997
210.0,-4.216005025052045e-06,-0.0003752365015685173,-0.000936134420605394,-5.595999999999988e-07,49.997
220.0,-4.216005025052045e-06,-0.00041739655181903773,-0.000936134420605394,-5.595999999999988e-07,49.997
230.0,-4.216005025052045e-06,-0.0004595566020695582,-0.000936134420605394,-5.595999999999988e-07,50.219
240.0,2.214984770131e-07,-0.0004573416172994272,4.91821872155088e-05,2.940000000000009e-08,50.219
250.0,-2.0010202549210577e-06,-0.00047735181984863775,-0.00044431254845030875,-2.655999999999996e-07,49.997
260.0,-6.438523756986215e-06,-0.0005417370574184999,-0.0014296291562712143,-8.546000000000003e-07,49.997
270.0,-4.216005025052045e-06,-0.0005838971076690203,-0.000936134420605394,-5.595999999999988e-07,50.441
280.0,2.4440172089472577e-06,-0.0005594569355795477,0.0005426769228813263,3.243999999999998e-07,50.219
290.0,-2.0010202549210577e-06,-0.0005794671381287583,-0.00044431254845030875,-2.655999999999996e-07,49.775
300.0,-6.438523756986215e-06,-0.0006438523756986204,-0.0014296291562712143,-8.546000000000003e-07,49.775
310.0,-4.216005025052045e-06,-0.0006860124259491409,-0.000936134420605394,-5.595999999999988e-07,50.219
320.0,-2.0010202549210577e-06,-0.0007060226284983515,-0.00044431254845030875,-2.655999999999996e-07,49.997
330.0,2.214984770131e-07,-0.0007038076437282206,4.91821872155088e-05,2.940000000000009e-08,49.997
340.0,-2.0010202549210577e-06,-0.0007238178462774311,-0.00044431254845030875,-2.655999999999996e-07,50.219
350.0,-8.661042488920367e-06,-0.0008104282711666348,-0.0019231238919370306,-1.1495999999999991e-06,50.219
360.0,-6.438523756986215e-06,-0.0008748135087364969,-0.0014296291562712143,-8.546000000000003e-07,49.997
370.0,-6.438523756986215e-06,-0.0009391987463063591,-0.0014296291562712143,-8.546000000000003e-07,49.997
380.0,-2.0010202549210577e-06,-0.0009592089488555697,-0.00044431254845030875,-2.655999999999996e-07,50.219
390.0,2.4440172089472577e-06,-0.0009347687767660971,0.0005426769228813263,3.243999999999998e-07,50.219
400.0,-6.438523756986215e-06,-0.0009991540143359592,-0.0014296291562712143,-8.546000000000003e-07,49.997
410.0,-2.0010202549210577e-06,-0.00101916421688517,-0.00044431254845030875,-2.655999999999996e-07,49.775
420.0,2.214984770131e-07,-0.0010169492321150388,4.91821872155088e-05,2.940000000000009e-08,50.219
430.0,-2.0010202549210577e-06,-0.0010369594346642495,-0.00044431254845030875,-2.655999999999996e-07,50.219
440.0,-6.438523756986215e-06,-0.0011013446722341117,-0.0014296291562712143,-8.546000000000003e-07,50.219
450.0,-2.0010202549210577e-06,-0.0011213548747833224,-0.00044431254845030875,-2.655999999999996e-07,49.997
460.0,-2.0010202549210577e-06,-0.0011413650773325328,-0.00044431254845030875,-2.655999999999996e-07,49.997
470.0,-2.0010202549210577e-06,-0.0011613752798817433,-0.00044431254845030875,-2.655999999999996e-07,49.997
480.0,-4.216005025052045e-06,-0.0012035353301322637,-0.000936134420605394,-5.595999999999988e-07,50.219
490.0,-6.438523756986215e-06,-0.0012679205677021258,-0.0014296291562712143,-8.546000000000003e-07,50.219
500.0,4.666535940881415e-06,-0.0012212552082933117,0.001036171658547144,6.193999999999995e-07,50.219
510.0,-2.0010202549210577e-06,-0.0012412654108425224,-0.00044431254845030875,-2.655999999999996e-07,49.997
520.0,-4.216005025052045e-06,-0.0012834254610930428,-0.000936134420605394,-5.595999999999988e-07,49.775
530.0,-2.0010202549210577e-06,-0.0013034356636422535,-0.00044431254845030875,-2.655999999999996e-07,49.997
540.0,-2.0010202549210577e-06,-0.001323445866191464,-0.00044431254845030875,-2.655999999999996e-07,49.997
550.0,-4.216005025052045e-06,-0.0013656059164419844,-0.000936134420605394,-5.595999999999988e-07,49.775
560.0,-6.438523756986215e-06,-0.0014299911540118465,-0.0014296291562712143,-8.546000000000003e-07,49.997
570.0,-2.0010202549210577e-06,-0.001450001356561057,-0.00044431254845030875,-2.655999999999996e-07,49.997
580.0,-2.0010202549210577e-06,-0.0014700115591102674,-0.00044431254845030875,-2.655999999999996e-07,50.219
590.0,-2.0010202549210577e-06,-0.001490021761659478,-0.00044431254845030875,-2.655999999999996e-07,49.997
600.0,2.214984770131e-07,-0.0014878067768893468,4.91821872155088e-05,2.940000000000009e-08,50.219
610.0,-2.0010202549210577e-06,-0.0015078169794385575,-0.00044431254845030875,-2.655999999999996e-07,49.997
620.0,-8.661042488920367e-06,-0.0015944274043277612,-0.0019231238919370306,-1.1495999999999991e-06,49.775
630.0,-4.216005025052045e-06,-0.0016365874545782816,-0.000936134420605394,-5.595999999999988e-07,49.553
640.0,-2.0010202549210577e-06,-0.0016565976571274923,-0.00044431254845030875,-2.655999999999996e-07,49.775
650.0,-2.0010202549210577e-06,-0.0016766078596767028,-0.00044431254845030875,-2.655999999999996e-07,49.997
660.0,2.214984770131e-07,-0.0016743928749065717,4.91821872155088e-05,2.940000000000009e-08,49.997
670.0,2.214984770131e-07,-0.0016721778901364406,4.91821872155088e-05,2.940000000000009e-08,49.997
680.0,2.214984770131e-07,-0.0016699629053663096,4.91821872155088e-05,2.940000000000009e-08,49.553
690.0,-4.216005025052045e-06,-0.00171212295561683,-0.000936134420605394,-5.595999999999988e-07,49.775
700.0,-2.0010202549210577e-06,-0.0017321331581660404,-0.00044431254845030875,-2.655999999999996e-07,49.997
710.0,-2.0010202549210577e-06,-0.001752143360715251,-0.00044431254845030875,-2.655999999999996e-07,49.997
720.0,-4.216005025052045e-06,-0.0017943034109657713,-0.000936134420605394,-5.595999999999988e-07,49.775
730.0,-2.0010202549210577e-06,-0.001814313613514982,-0.00044431254845030875,-2.655999999999996e-07,49.997
740.0,-6.438523756986215e-06,-0.0018786988510848441,-0.0014296291562712143,-8.546000000000003e-07,49.997
750.0,2.214984770131e-07,-0.001876483866314713,4.91821872155088e-05,2.940000000000009e-08,49.997
760.0,-2.0010202549210577e-06,-0.0018964940688639235,-0.00044431254845030875,-2.655999999999996e-07,49.775
770.0,2.214984770131e-07,-0.0018942790840937925,4.91821872155088e-05,2.940000000000009e-08,49.997
780.0,-2.0010202549210577e-06,-0.0019142892866430032,-0.00044431254845030875,-2.655999999999996e-07,49.775
790.0,-2.0010202549210577e-06,-0.0019342994891922136,-0.00044431254845030875,-2.655999999999996e-07,49.997
800.0,-4.216005025052045e-06,-0.0019764595394427343,-0.000936134420605394,-5.595999999999988e-07,49.775
810.0,-2.0010202549210577e-06,-0.0019964697419919447,-0.00044431254845030875,-2.655999999999996e-07,50.219
820.0,2.214984770131e-07,-0.001994254757221814,4.91821872155088e-05,2.940000000000009e-08,49.997
830.0,-6.438523756986215e-06,-0.0020586399947916762,-0.0014296291562712143,-8.546000000000003e-07,49.997
840.0,2.214984770131e-07,-0.0020564250100215454,4.91821872155088e-05,2.940000000000009e-08,49.775
850.0,-4.216005025052045e-06,-0.002098585060272066,-0.000936134420605394,-5.595999999999988e-07,49.997
860.0,-6.438523756986215e-06,-0.0021629702978419284,-0.0014296291562712143,-8.546000000000003e-07,49.997
870.0,-2.0010202549210577e-06,-0.002182980500391139,-0.00044431254845030875,-2.655999999999996e-07,49.997
